Pack Type
Product Category
Product attributes
Product Nomenclature
Packaging
Product
Product Unit of Measure
Product uom categ
Country
Country state
Languages
Partner
Partner Addresses
Partner Categories
Incoterms
Production lot
Packs
Account
Account Entry
Account period
Account Reconciliation
Account Type
account.sequence.fiscalyear
account.target.costcenter
account.tax
account.tax.template
Accounts Fiscal Position
Analytic Account
Analytic Journal
Analytic Line
Currency
Currency Rate
Destination link between G/L and Analytic accounts
Destinations by accounts
Fiscal Position
Fiscal Year
Journal
Journal Column
Journal Items
Mapping of Instance into a Country Code
Mapping of UF code into AX code
msf.budget.decision.moment
msf.doc.import.accounting.lines
msf.instance
res.currency.table
Tax Code
Tax Code Template
Taxes Fiscal Position
Template for Fiscal Position
Template Tax Fiscal Position
Product Category
